iter	Passed	Remaining
447	1129	1392
448	1133	1390
449	1138	1391
450	1141	1390
451	1144	1387
452	1147	1385
453	1150	1383
454	1153	1381
455	1156	1379
456	1158	1376
457	1160	1373
458	1162	1370
459	1165	1368
460	1167	1365
461	1170	1363
462	1173	1360
463	1175	1357
464	1177	1355
465	1180	1352
466	1182	1349
467	1184	1346
468	1187	1344
469	1189	1341
470	1192	1338
471	1194	1336
472	1197	1334
473	1200	1331
474	1202	1329
475	1204	1326
476	1207	1323
477	1209	1320
478	1211	1317
479	1214	1315
480	1216	1312
481	1219	1310
482	1221	1307
483	1223	1304
484	1226	1302
485	1228	1299
486	1230	1296
487	1233	1294
488	1235	1291
489	1237	1288
490	1240	1285
491	1242	1282
492	1245	1280
493	1248	1278
494	1250	1275
495	1252	1273
496	1255	1270
497	1257	1267
498	1260	1265
499	1262	1262
500	1264	1259
501	1267	1257
502	1269	1254
503	1271	1251
504	1274	1249
505	1276	1246
506	1279	1244
507	1282	1242
508	1285	1239
509	1287	1237
510	1290	1234
511	1292	1231
512	1294	1229
513	1296	1226
514	1299	1223
515	1301	1221
516	1304	1218
517	1306	1215
518	1309	1213
519	1311	1210
520	1314	1208
521	1316	1205
522	1319	1203
523	1325	1203
524	1328	1201
525	1331	1199
526	1334	1197
527	1337	1195
528	1339	1192
529	1342	1190
530	1344	1187
531	1346	1184
532	1349	1182
533	1351	1179
534	1353	1176
535	1356	1173
536	1358	1171
537	1360	1168
538	1363	1165
539	1365	1163
540	1368	1160
541	1370	1158
542	1373	1155
543	1375	1153
544	1378	1150
545	1380	1147
546	1382	1145
547	1385	1142
548	1387	1139
549	1390	1137
550	1392	1134
551	1395	1132
552	1397	1129
553	1400	1127
554	1403	1125
555	1405	1122
556	1407	1119
557	1410	1117
558	1412	1114
559	1414	1111
560	1417	1109
561	1419	1106
562	1421	1103
563	1424	1100
564	1426	1098
565	1428	1095
566	1431	1092
567	1433	1090
568	1435	1087
569	1437	1084
570	1440	1082
571	1442	1079
572	1445	1077
573	1447	1074
574	1450	1071
575	1452	1069
576	1455	1066
577	1457	1064
578	1460	1061
579	1463	1059
580	1465	1057
581	1468	1054
582	1470	1051
583	1472	1049
584	1475	1046
585	1477	1044
586	1480	1041
587	1482	1038
588	1484	1036
589	1487	1033
590	1489	1030
591	1491	1028
592	1494	1025
593	1496	1022
594	1499	1020
595	1501	1017
596	1503	1015
597	1505	1012
598	1508	1009
599	1510	1007
600	1513	1004
601	1515	1002
602	1518	999
603	1520	996
604	1522	994
605	1525	991
606	1527	988
607	1529	986
608	1531	983
609	1534	980
610	1536	978
611	1538	975
612	1541	973
613	1543	970
614	1545	967
615	1548	965
616	1551	962
617	1554	960
618	1556	958
619	1558	955
620	1561	952
621	1563	950
622	1565	947
623	1568	944
624	1570	942
625	1572	939
626	1575	937
