iter	RMSE
340	44669.7779
341	44650.61651
342	44616.54375
343	44597.44834
344	44572.55584
345	44546.78298
346	44523.2646
347	44501.49005
348	44472.30447
349	44454.32242
350	44425.62786
351	44400.7326
352	44367.65756
353	44345.04665
354	44333.83416
355	44311.84461
356	44294.36325
357	44274.55883
358	44255.08082
359	44235.96945
360	44206.26241
361	44183.25313
362	44164.25806
363	44140.16298
364	44123.31177
365	44100.23641
366	44083.06771
367	44070.73032
368	44047.59387
369	44024.31002
370	43995.76388
371	43977.46481
372	43950.54844
373	43931.36328
374	43904.90653
375	43887.16375
376	43864.12881
377	43846.30924
378	43836.59263
379	43810.26417
380	43784.11764
381	43769.9617
382	43743.74399
383	43726.6868
384	43709.75194
385	43696.48933
386	43675.27089
387	43661.57095
388	43627.87618
389	43610.16606
390	43591.14274
391	43573.11752
392	43538.65344
393	43520.13954
394	43500.57916
395	43488.85791
396	43472.70947
397	43443.48057
398	43432.47812
399	43409.48664
400	43380.38702
401	43367.09849
402	43347.54752
403	43336.30721
404	43315.18551
405	43299.15866
406	43268.16507
407	43246.17312
408	43221.83487
409	43204.33877
410	43190.54632
411	43160.43153
412	43141.66096
413	43122.65194
414	43099.71086
415	43074.50986
416	43064.58123
417	43049.33261
418	43032.28891
419	43018.30461
420	42992.73981
421	42972.04609
422	42960.6574
423	42949.7966
424	42923.88973
425	42898.28261
426	42885.03067
427	42863.41009
428	42846.69766
429	42822.42651
430	42803.58992
431	42794.47265
432	42773.14185
433	42754.71204
434	42741.44071
435	42721.15516
436	42699.03641
437	42679.97451
438	42659.00252
439	42638.43187
440	42627.8695
441	42608.3723
442	42586.49673
443	42569.43278
444	42555.07822
445	42536.06356
446	42516.06928
447	42499.58042
448	42491.28532
449	42476.79531
450	42458.2805
451	42444.95485
452	42420.88772
453	42402.05332
454	42375.64311
455	42357.36597
456	42340.63664
457	42321.8114
458	42303.01438
459	42292.45964
460	42273.22129
461	42258.66777
462	42229.22304
463	42205.66788
464	42190.36011
465	42172.95007
466	42158.31103
467	42136.54177
468	42124.52821
469	42103.29203
470	42085.93853
471	42065.65103
472	42046.89092
473	42036.65616
474	42022.31968
475	42003.80551
476	41985.46666
477	41967.70113
478	41954.59004
479	41933.39521
480	41919.86282
481	41894.75282
482	41869.43851
483	41860.13767
484	41840.93857
485	41824.90347
486	41807.20282
487	41787.11671
488	41770.44171
489	41761.86235
490	41739.42975
491	41730.19661
492	41719.6935
493	41697.38181
494	41687.35812
495	41670.22524
496	41658.9649
497	41641.91639
498	41627.88186
499	41601.82798
500	41587.67798
501	41574.0185
502	41556.47074
503	41542.81602
504	41525.3206
505	41503.17651
506	41485.48052
507	41468.57686
508	41447.10471
509	41436.93114
510	41419.20836
511	41397.94336
512	41379.93062
513	41358.35622
514	41345.92917
515	41327.7698
516	41310.18744
517	41294.98164
518	41279.91455
519	41261.33743
520	41246.34798
521	41226.0142
522	41211.91905
523	41200.27113
524	41187.05631
525	41163.70595
526	41135.67588
527	41121.69307
528	41106.39009
529	41097.44124
530	41084.2167
531	41063.15523
532	41050.30416
533	41032.23925
534	41017.62464
535	40996.4525
536	40981.71602
537	40969.92174
538	40952.84888
539	40935.77691
540	40914.56817
541	40896.80305
542	40877.49881
543	40864.4347
544	40846.63456
545	40834.32658
546	40814.85347
547	40801.44471
548	40790.95024
549	40771.76126
550	40762.90224
551	40751.99453
552	40741.22231
553	40732.22001
554	40711.80359
555	40691.51363
556	40675.74701
557	40652.4095
558	40646.55578
559	40632.10784
560	40618.17642
561	40612.18457
562	40597.74785
563	40587.90645
564	40576.31695
565	40557.60951
566	40535.61783
567	40528.63988
568	40521.55602
569	40506.59792
570	40494.34173
571	40484.89556
572	40469.70841
573	40450.07615
574	40437.56409
575	40422.66045
576	40410.33693
577	40395.25952
578	40384.39384
579	40365.66191
580	40356.97251
581	40348.45996
582	40338.69919
583	40326.53552
584	40310.10226
585	40293.27518
586	40283.71365
587	40271.29453
588	40254.97397
589	40247.24206
590	40227.67801
591	40208.31776
592	40196.10893
593	40180.27154
594	40168.2154
595	40158.5746
596	40149.86658
597	40138.20035
598	40127.6588
599	40106.96792
600	40094.80034
601	40073.48735
602	40060.17813
603	40047.95062
604	40035.04627
605	40016.65375
606	40002.54626
607	39986.30803
608	39978.84739
609	39966.62301
610	39953.70036
611	39936.05275
612	39921.24161
613	39908.31525
614	39889.5338
615	39883.49186
616	39859.85813
617	39843.73953
618	39836.27429
619	39825.71912
620	39795.70173
621	39782.54445
622	39770.13722
623	39751.91346
624	39737.52179
625	39722.6365
626	39712.87294
627	39696.36319
628	39681.80371
629	39667.9801
630	39652.28054
631	39641.33237
632	39635.37122
633	39624.89418
634	39617.10813
635	39612.00165
636	39593.70857
637	39581.2485
638	39567.50923
639	39552.42238
640	39540.63729
641	39530.684
642	39520.03844
643	39509.4509
644	39495.3331
645	39481.40639
646	39467.63119
647	39451.71204
648	39444.65843
649	39432.80359
650	39422.10415
651	39409.05685
652	39396.36821
653	39383.57051
654	39372.0311
655	39360.97317
656	39340.15107
657	39327.71567
658	39317.66367
659	39310.35419
660	39303.19378
661	39294.76721
662	39280.55418
663	39266.52808
664	39253.14707
665	39236.98031
666	39224.62739
667	39217.32893
668	39199.0283
669	39184.19138
670	39168.93572
671	39154.71391
672	39138.69484
673	39126.92093
674	39112.12696
675	39097.46427
676	39083.19349
677	39065.1026
678	39057.50616
679	39048.14452
680	39034.42087
681	39019.00979
682	39007.06765
683	38993.48824
684	38987.10492
685	38979.85606
686	38970.53134
687	38958.9981
688	38942.72887
689	38929.38243
690	38914.79919
691	38902.67798
692	38893.00661
693	38881.36302
694	38863.45125
695	38852.27175
696	38840.71312
697	38830.84775
698	38816.31274
699	38809.24493
700	38799.90141
701	38783.04514
702	38766.07329
703	38738.8704
704	38730.76314
705	38717.41499
706	38702.67822
707	38691.29176
708	38676.44141
709	38663.22556
710	38642.96494
711	38633.3422
712	38613.88247
713	38608.20957
714	38594.80696
715	38579.39001
716	38570.74477
717	38561.83915
718	38548.65875
719	38530.88825
720	38518.68094
721	38510.69296
722	38501.36006
723	38493.65421
724	38478.83971
725	38470.69672
726	38455.73822
727	38445.62391
728	38437.62754
729	38422.47409
730	38412.59384
731	38402.56687
732	38393.22348
733	38379.74577
734	38365.58474
735	38356.20114
736	38346.75838
737	38335.4654
738	38316.68442
739	38303.12697
740	38292.31611
741	38279.0782
742	38267.18671
743	38258.83723
744	38248.50799
745	38242.49425
746	38234.08496
747	38223.599
748	38215.44083
749	38211.35129
750	38202.09538
751	38196.30468
752	38186.45324
753	38177.62024
754	38161.71384
755	38146.34678
756	38131.28132
757	38123.7274
758	38114.96347
759	38110.06822
760	38100.85174
761	38089.76891
762	38079.74512
763	38068.35444
764	38062.98967
765	38046.23947
766	38039.94789
767	38025.22942
768	38010.47744
769	37996.88158
770	37981.03033
771	37965.68203
772	37957.66106
773	37946.05212
774	37928.32012
775	37914.23671
776	37902.69121
777	37890.59999
778	37880.61793
779	37868.55288
780	37853.67812
781	37843.66968
782	37835.90708
783	37821.25015
784	37813.42682
785	37805.88146
786	37791.27383
787	37780.16226
788	37768.47099
789	37759.55528
790	37745.55103
791	37740.14267
792	37727.03013
793	37707.32575
794	37693.01688
795	37686.05847
796	37680.93172
797	37669.43787
798	37660.63485
799	37650.92419
800	37643.54542
801	37635.56071
802	37625.02772
803	37614.57399
804	37601.19308
805	37594.95132
806	37578.38968
807	37565.64311
808	37554.5184
809	37543.23929
810	37528.7186
811	37519.55789
812	37507.47125
813	37502.549
814	37495.19507
815	37487.69702
816	37475.79872
817	37461.77649
818	37448.63278
819	37431.49695
820	37420.34813
821	37407.87645
822	37398.0018
823	37382.74168
824	37374.18207
825	37362.54078
826	37350.70304
827	37337.59491
828	37329.08959
829	37323.88168
830	37309.42269
831	37302.22711
832	37288.77945
833	37279.36073
834	37270.40131
835	37263.71598
836	37252.85299
837	37238.60721
838	37227.23146
839	37214.36942
840	37202.28316
841	37191.36538
842	37176.7794
843	37164.54961
844	37160.2973
845	37150.71552
846	37139.93135
847	37132.84983
848	37123.10509
849	37108.6795
850	37099.83025
851	37089.47432
852	37075.72643
853	37063.14692
854	37053.27613
855	37044.30805
856	37029.21179
857	37016.20775
858	37007.57989
859	36995.63552
860	36984.01339
861	36977.10447
862	36972.54418
863	36965.44145
864	36950.05239
865	36939.25269
866	36934.08052
867	36922.17308
868	36917.98619
869	36902.21048
870	36893.01011
871	36884.35144
872	36874.16028
873	36866.14692
874	36855.38814
875	36845.54236
876	36839.35081
877	36827.33986
878	36821.29239
879	36809.29631
880	36801.49742
881	36796.03342
882	36785.24988
883	36775.79625
884	36770.23681
885	36758.63399
886	36748.7021
887	36739.32664
888	36730.41235
889	36722.23641
890	36709.55557
891	36698.90737
892	36694.15436
893	36680.91824
894	36670.93742
895	36661.43947
896	36653.21094
897	36638.28759
898	36632.41031
899	36626.06532
900	36617.11238
901	36610.1429
902	36602.90706
903	36590.04888
904	36584.66545
905	36572.63074
906	36563.15562
907	36552.45068
908	36540.28542
909	36528.37567
910	36516.90373
911	36512.53539
912	36502.65488
913	36493.61685
914	36488.11505
915	36478.80181
916	36471.27413
917	36460.63267
918	36450.525
919	36444.12418
920	36432.2189
921	36424.93014
922	36421.18264
923	36410.59589
924	36395.42587
925	36388.66503
926	36373.52847
927	36362.03829
928	36353.5737
929	36339.67968
930	36327.10251
931	36321.87802
932	36313.44781
933	36303.12922
934	36289.59339
935	36279.56567
936	36272.15448
937	36260.22112
938	36252.23643
939	36238.63746
940	36229.49955
941	36213.95025
942	36189.93826
943	36177.55671
944	36167.92117
945	36159.54925
946	36153.69098
947	36142.41035
948	36135.52462
949	36126.18201
950	36116.43154
951	36105.87187
952	36091.17401
953	36085.75179
954	36078.75312
955	36073.21396
956	36064.59903
957	36052.27158
958	36037.20441
959	36031.26762
960	36023.8552
961	36014.18159
962	36004.2559
963	35995.32927
964	35988.49555
965	35978.05769
966	35967.7543
967	35957.2152
968	35945.56982
969	35936.79373
970	35929.20947
971	35914.4041
972	35902.35507
973	35896.35721
974	35881.44705
975	35873.24274
976	35865.48032
977	35853.40054
978	35846.39317
979	35838.38145
980	35828.4543
981	35816.79098
982	35809.21841
983	35800.65914
984	35788.71827
985	35784.56129
986	35777.65118
987	35771.60266
988	35763.21991
989	35753.12474
990	35744.52988
991	35730.09373
992	35725.00422
993	35713.68616
994	35705.61961
995	35695.85247
996	35684.86973
997	35676.44956
998	35664.03311
999	35655.88299
